Prediction,Years,MAX,RoutesNbr,OS,Flash,RP,Region,<6a,6a-6c+,7a-7c+,=>8a,Grade
0,3.642857143,6.867857143,105.2857143,0.561714286,0.127571429,0.275928571,Kalymnos,52.57142857,42.71428571,9.642857143,0.357142857,5.964
1,20.33333333,9.116666667,1638.333333,0.351333333,0.044,0.604333333,Sogn,0,0,168.6666667,1469.666667,8.014333333
2,2.916666667,6.841666667,37.16666667,0.12725,0.442916667,0.401166667,Frankenjura,14.16666667,16.83333333,6.166666667,0,6.219333333
3,9.25,8.1,265.3333333,0.112833333,0.046333333,0.832083333,RMNP (CO),1.416666667,13.91666667,211.5833333,38.41666667,7.232916667
4,15.5,8.125,1166.5,0.4395,0.0935,0.463,Kalymnos,0.5,3.5,978,184.5,7.256
5,1,5.05,1,0,1,0,Siurana,1,0,0,0,5.05
6,27.66666667,8.183333333,1826.333333,0.349333333,0.06,0.59,Split,11.66666667,39,1560.666667,215,7.227
7,16.33333333,8.05,875,0.424,0.074,0.470333333,RMNP (CO),24,186,639.6666667,25.33333333,6.753
8,5.5,8.525,89.58333333,0.067166667,0.069916667,0.862583333,Sinks Canyon (WY),0.416666667,2.083333333,31.25,55.83333333,7.82075
9,5.473684211,7.957894737,134.3157895,0.322263158,0.060368421,0.605684211,Innsbruck,2.473684211,17.05263158,104.8947368,9.894736842,7.081789474
10,1.8,6.25,20.6,0.0268,0.2,0.011,Alicante,9,11,0.6,0,6.0484
11,6.5,8.0875,236.7916667,0.367125,0.120208333,0.511125,Frankenjura,13.25,51.29166667,152.2083333,20.04166667,6.966958333
12,8.166666667,8.033333333,151.1666667,0.089333333,0.098166667,0.8045,Margalef,1.666666667,6.166666667,135,8.333333333,7.0865
13,2.5,6.466666667,54,0.500166667,0.147333333,0.348166667,Leonidio,34.83333333,17.33333333,1.833333333,0,5.975
14,13.2,8.17,619.2,0.2422,0.0654,0.6912,Alicante,0.8,7.8,417.2,193.4,7.467
15,12,7.7,913.3333333,0.489333333,0.190333333,0.316666667,Margalef,241.6666667,359.3333333,309.3333333,3,6.303
16,1.5,6.1125,2,0,0.75,0.0625,Rumney (NH),0.75,1.25,0,0,5.975
17,1.588235294,6.735294118,6.470588235,0.017941176,0.004176471,0.977882353,Ticino,0.411764706,2.117647059,3.941176471,0,6.617235294
18,8.142857143,7.792857143,397.2857143,0.242571429,0.153571429,0.472285714,Sogn,8.285714286,177.2857143,204.4285714,7.285714286,6.560714286
19,5.5,6.575,168,0.4595,0.3245,0.2155,Red River Gorge (KY),104,60.5,3.5,0,5.6605
20,15.42857143,8.530952381,534.3809524,0.272952381,0.099142857,0.626666667,Nice,4.19047619,16.14285714,322.5238095,191.5238095,7.397333333
21,6.857142857,8.078571429,206.7857143,0.359428571,0.075571429,0.550785714,San Vito lo Capo,6.071428571,21.07142857,160.3571429,19.28571429,7.113
22,2,6.291666667,33.91666667,0.226833333,0.04575,0.650916667,Arco,20.66666667,12.58333333,0.666666667,0,5.745416667
23,3.181818182,6.972727273,40.27272727,0.132727273,0.157636364,0.656818182,Malaga,15.72727273,18.54545455,6,0,6.278727273
24,1,5.1,1,1,0,0,Kalymnos,1,0,0,0,5.1
25,1,5.05,1.5,0,0,1,Ticino,1.5,0,0,0,5.025
26,7.428571429,7.964285714,330.4285714,0.502428571,0.129142857,0.332,Albenga,10,95.28571429,204,21.14285714,6.817571429
27,12.90909091,8.795454545,337.5454545,0.087181818,0.038454545,0.873818182,V??stkusten,0,1.454545455,38.54545455,297.5454545,7.964
28,10.33333333,7.75,158.8333333,0.1935,0.254,0.494,Kalymnos,17,53.83333333,79,9,6.6305
29,4.555555556,8.047222222,62.33333333,0.123111111,0.089722222,0.778166667,Siurana,0.055555556,3.888888889,40.22222222,18.16666667,7.409333333
